RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"2243087","","Arckanum","","","ÞÞÞÞÞÞÞÞÞÞÞ","2009","0","o","","MP3",  ""
"13200","","Arditti String Quartet","","","György Ligeti Edition 1: String Quartets and Duets","1997","0","w","","CD",  ""
"1131783","","Arditti String Quartet","","","Streichquartett Nr. 4 Opus 33","2003","7","o","","MP3",  ""
"1809884","","Arditti String Quartet","","","The Complete String Trios and Quartets","1991","0","w","","CD",  ""
"675891","Martha","Argerich","","","24 Préludes, Op. 28; Préludes Nr. 25, Op. 45; Nr. 26, Op. Posth.","1977","0","w","","LP",  ""
"2631192","","Arizmenda","","","Within the Vacuum of Infinity...","2009","0","w","","Cassette",  ""
"17274","","Art Bears","","","The World as It Is Today","1981","7","o","","MP3",  ""
"10167727","","Art Fact","","","The Nuclear Princess","1992","0","w","","Cassette",  ""
"3217487","","Artificial Peace","","","Complete Session November 81","2010","0","w","","CD",  ""
"3264269","","Aryan Blood","","","Through Struggle to Victory","2010","0","o","","MP3",  ""
"1530353","","Ascended","","","The Art of Necromancy","2008","8","o","","MP3",  ""
"579635","","A Sei Voci","","","Miserere; Messe; Motets","1994","0","w","","CD",  ""
"833563","Robert","Ashley","","","Dust","2000","0","o","","MP3",  ""
"686985","Robert","Ashley","","","In Sara, Mencken, Christ and Beethoven There Were Men and Women","1974","0","w","","LP",  ""
"2105797","","Asin","","","Masdan Mo Ang Kapaligiran","1994","7","w","","MP3",  ""
"70872","","Asmorod","","","Derelict","1999","0","w","","CD",  ""
"412762","Bob van","Asperen","","","Goldberg-Variationen","1991","0","w","","CD",  ""
"195476","","Asphyx","","","Last One on Earth","1992","8","o","","MP3",  ""
"69911","The","Associates","","","Tell Me Easter's on Friday / Straw Towels","1981","0","w","","LP",  ""
"127893","","Assück","","","Blindspot","1992","7","o","","MP3",  ""
"127892","","Assück","","","Misery Index","1997","8","o","","MP3",  ""
"1323955","","Asylum Party","","","Border Line","1989","8","o","","MP3",  ""
"138212","","Asylum Party","","","Picture One","1988","8","o","","MP3",  ""
"3199743","","Atelier du mal","","","Noblesse Oblige","1984","0","o","","MP3",  ""
"8408600","","Atelier du mal","","","Noblesse Oblige","2017","0","o","","MP3",  ""
"6243853","","Atmaksis","","","Friends","1982","0","o","","MP3",  ""
"718943","","Atomic Aggressor","","","Bloody Ceremonial","1989","0","w","","Cassette",  ""
"203903","","Atrax Morgue","","","Sickness Report","1996","0","w","","CD",  ""
"1516558","","A.T.R.O.X.","","","The Night's Remains","1982","0","w","","LP",  ""
"1827370","","Ättestupa","","","Ättestupa","2008","8","o","","MP3",  ""
"3517387","","Aube","","","365-2001","2000","0","w","","CD-R",  ""
"1197120","","Aube","","","Blau + Rot","2007","0","w","","LP",  ""
"158103","","Aube","","","Magnetostriction","1995","7","o","","MP3",  ""
"118549","","Aube","","","Métal de métal","1996","8","o","","MP3",  ""
"589440","","Aube","","","Millennium - Februarius","2000","0","w","","CD",  ""
"314140","","Aube","","","Pôle Nord","2005","0","w","","CD-R",  ""
"193670","","Aus-Rotten","","","...And Now Back to Our Programming","1998","0","o","","MP3",  ""
"82796","","Aus-Rotten","","","The System Works... For Them","1996","0","o","","MP3",  ""
"416877","Håkon","Austbø","","","Piano Music Vol. 3: Préludes; Four Rhythmic Studies; Cantéyodjayâ","1999","0","w","","CD",  ""
"1577722","","Autechre","","","Digital Exclusive EP","2008","8","o","","MP3",  ""
"46743","","Autechre","","","Draft 7.30","2003","9","o","","MP3",  ""
"4408497","","Autechre","","","Exai","2013","8","o","","MP3",  ""
"17687","","Autechre","","","Gantz Graf","2002","0","o","","MP3",  ""
"12193698","","Autechre","","","PLUS","2020","7","o","","MP3",  ""
"1311693","","Autechre","","","Quaristice","2008","0","o","","MP3",  ""
"1550580","","Autechre","","","Quaristice.Quadrange.ep.ae","2008","9","o","","MP3",  ""
"46453","","Autopsy","","","Mental Funeral","1991","9","o","","MP3",  ""
"591876","","Autopsy","","","Severed Survival","1990","8","o","","MP3",  ""
"1970756","L'","avis G821","","","Die Kaisergruft","1989","0","w","","Cassette",  ""
"3434983","L'","avis G821","","","Musique en la Sainte Chapelle","1991","0","o","","MP3",  ""
"393230","","Avulsed","","","Embalmed in Blood","1992","0","w","","Cassette",  ""
"11233811","","Axis of Light","","","Axis of Light","2020","8","o","","MP3",  ""
"1132465","Kelly","Bailey","","","Half-Life","1998","0","w","","CD",  ""
"42304","","Bailter Space","","","Thermos","1989","0","w","","CD",  ""
"202641","","Bärchen und die Milchbubis","","","Dann macht es bumm","1981","0","w","","LP",  ""
"44565","Blixa","Bargeld","","","Commissioned Music","1995","0","w","","CD",  ""
"705224","","Baroque Bordello","","","Via","1985","6","o","","MP3",  ""
"15030592","Louis &amp; Bebe","Barron","","","Bells of Atlantis","1952","8","w","","MP3",  ""
"729396","Louis &amp; Bebe","Barron","","","Forbidden Planet","1978","0","w","","MP3",  ""
"283345","Béla","Bartók","","","Bartók Plays Bartók: Bartók at the Piano 1929-41","1995","0","w","","CD",  ""
"808271","Béla","Bartók","","","Mikrokosmos; Contrasts","1968","0","w","","LP",  ""
"101985","","Basic Channel","","","BCD","1995","8","o","","MP3",  ""
"221923","Pierre","Bastien","","","Eggs Air Sister Steel","1996","0","w","","CD",  ""
"4111","","Bathory","","","Bathory","1984","9","o","","MP3",  ""
"4114","","Bathory","","","Blood Fire Death","1988","9","o","","MP3",  ""
"2070972","François","Bayle","","","Les couleurs de la nuit","1985","0","o","","MP3",  ""
"97095","","Beequeen","","","Stetson","1997","0","w","","CD",  ""
"2990293","","Bee Vamp","","","Valium Girls","1981","6","o","","MP3",  ""
"3937566","","Bekëth Nexëhmü","","","De dunkla herrarna","2011","0","o","","MP3",  ""
"8937501","","Belisha Beacon","","","This Is Fine","2017","0","w","","MP3",  ""
"9452318","Renick","Bell","","","Turning Points","2018","0","w","","Cassette",  ""
"1136694","","Belsebub","","","Disemboweled","1991","0","o","","MP3",  ""
"836248","","Belsebub","","","Elohim","1992","0","o","","MP3",  ""
"785997","John","Bender","","","I Don't Remember Now / I Don't Want to Talk About It","1980","0","o","","MP3",  ""
"453188","","Bernthøler","","","Japanese Garden / The Other","1982","0","w","","LP",  ""
"480161","","Bestial Summoning","","","The Dark War Continues","2002","0","w","","",  ""
"480159","","Bestial Summoning","","","The Dark War Has Begun","1992","8","o","","MP3",  ""
"139121","","Bestial Warlust","","","Blood &amp; Valour","1995","7","o","","MP3",  ""
"306166","Maurizio","Bianchi","","","Mectpyo bakterium","1982","8","o","","MP3",  ""
"3345942","Maurizio","Bianchi","","","Mectpyo Bakterium","1998","0","o","","MP3",  ""
"787118","Maurizio","Bianchi","","","Mokushi XVI, XVI","2006","0","o","","MP3",  ""
"6915227","Maurizio","Bianchi","","","Mörder Tape","1980","0","w","","Cassette",  ""
"5880658","","Big City Orchestra","","","Absence Sharpens, Presents Strenghtens","1988","0","w","","Cassette",  ""
"5864156","","Big City Orchestra","","","Aime-Morot","1989","0","w","","Cassette",  ""
"5114475","","Big City Orchestra","","","Anguilliform","1996","6","o","","MP3",  ""
"4932182","","Big City Orchestra","","","Annual 1986","1987","0","w","","Cassette",  ""
"1818663","","Big City Orchestra","","","Arc of Infinity","1987","8","o","","MP3",  ""
"6235336","","Big City Orchestra","","","Big City Orchestra","2005","0","o","","MP3",  ""
"4831317","","Big City Orchestra","","","Bob Hope's Fruit Loop Special","1986","0","o","","MP3",  ""
"5853141","","Big City Orchestra","","","Bretagne","1989","7","o","","MP3",  ""
"5880858","","Big City Orchestra","","","Carnival of Monsters","","0","w","","Cassette",  ""
"8472131","","Big City Orchestra","","","Childhood Rememberences","1989","9","o","","MP3",  ""
"2034485","","Big City Orchestra","","","Dark at Night","1997","7","o","","MP3",  ""
"5866647","","Big City Orchestra","","","Des Feurs","1990","0","w","","Cassette",  ""
"5847921","","Big City Orchestra","","","Gateway of Fruit Loops","1986","8","o","","MP3",  ""
"2228822","","Big City Orchestra","","","Greatest Hits and Test Tones","1993","7","o","","MP3",  ""
"13197750","","Big City Orchestra","","","Hi-Fi Stereo Test Record for Pets","2004","0","w","","MP3",  ""
"5301201","","Big City Orchestra","","","In the Near Future","1988","9","o","","MP3",  ""
"1818358","","Big City Orchestra","","","Mile After Mile","1987","0","w","","Cassette",  ""
"5857942","","Big City Orchestra","","","Mind Bent and Fancy Free","1989","0","w","","Cassette",  ""
"5866602","","Big City Orchestra","","","Mind of Evil","1987","0","o","","MP3",  ""
"5114561","","Big City Orchestra","","","Parade of Idiots","1986","0","w","","Cassette",  ""
"5871713","","Big City Orchestra","","","Recycled Music","","0","w","","Cassette",  ""
"6235280","","Big City Orchestra","","","So Much Nearer Than Ubiquitious","1994","0","o","","MP3",  ""
"2037240","","Big City Orchestra","","","sUBito","2008","0","w","","MP3",  ""
"540010","","Biosphere","","","Microgravity","1992","7","u","","MP3",  ""
"214827","","Biota","","","Rackabones","1985","0","w","","LP",  ""
"5221648","","Black Egg","","","Legacy From a Cold World","2013","0","w","","LP",  ""
"39691","","Black Light District","","","A Thousand Lights in a Darkened Room","1996","9","o","","MP3",  ""
"473883","","Bladder Flask","","","One Day I Was So Sad That the Corners of My Mouth Met &amp; Everybody Thought I Was Whistling","1981","7","o","","MP3",  ""
"1627346","Eberhard","Blum","","","Four Systems","1994","0","w","","CD",  ""
"267773","","Blut aus Nord","","","&#34;Thematic Emanation of Archetypal Multiplicity&#34; (Soundtracks for Scientists of Occult Synchretism)","2005","0","w","","CD",  ""
"32072","Der","Blutharsch","","","Der Sieg des Lichtes ist des Lebens Heil!","1998","0","w","","CD",  ""
"374201","","Boduf Songs","","","Boduf Songs","2005","0","w","","CD",  ""
"14756430","Grzegorz","Bojanek","","","All Bento","2022","0","w","","MP3",  ""
"287325","The","Book of Knots","","","The Book of Knots","2004","7","o","","MP3",  ""
"97717","The","Books","","","The Lemon of Pink","2003","0","w","","CD",  ""
"13395","","Boredoms","","","Super æ","1998","0","w","","CD",  ""
"3304587","","Boris Dzaneck","","","In His Own Words","1983","0","o","","MP3",  ""
"1023671","Alexander von","Borsig","","","Das Leben ist schön","1980","0","w","","Cassette",  ""
"210405","Pierre","Boulez","","","Complete Works Opp 1-31","1991","0","w","","MP3",  ""
"6202358","","Bourbonese Qualk","","","Bourbonese Qualk 1983-1987","2015","0","o","","MP3",  ""
"111549","","Bourbonese Qualk","","","Laughing Afternoon","1983","7","o","","MP3",  ""
"111552","","Bourbonese Qualk","","","Preparing for Power","1986","0","o","","MP3",  ""
"8456314","Lucette","Bourdin","","","Rising Fog","2007","0","w","","MP3",  ""
"2624858","","Brain Ink","","","One","1989","0","w","","Cassette",  ""
"2370319","","Brainstorm","","","Brainstorm","1995","0","w","","LP",  ""
"353327","","Branikald","","","Stormheit","2000","8","o","","MP3",  ""
"6775992","Frank","Bretschneider","","","Isolation","2015","6","w","","CD",  ""
"381231","Frank","Bretschneider","","","Looping I - VI (And Other Assorted Love Songs)","2004","0","o","","MP3",  ""
"3272045","Frank","Bretschneider","","","Scombermix","1985","0","w","","Cassette",  ""
"6168225","Frank","Bretschneider","","","Sinn + Form","2015","0","o","","MP3",  ""
"1891454","","Brigade Internationale","","","Regard extrême","1984","0","w","","Cassette",  ""
"1557713","","Brighter Death Now","","","Necrose Evangelicum","2008","8","o","","MP3",  ""
"5991759","","Brighter Death Now","","","With Promises of Death","2014","7","w","","CD",  ""
"722008","","Brodsky Quartet","","","Der Tod und das Mädchen / Black Angels","1993","0","w","","CD",  ""
"17685","","Brothomstates","","","Qtio EP","2001","0","w","","CD",  ""
"7556886","Bruce","Brubaker","","","Time Curve","2009","7","w","","MP3",  ""
"463471","","Bulldozer","","","Fallen Angel","1984","0","w","","LP",  ""
"4836636","","Burden of Friendship","","","The Head of Your Goat - The Son of Your Dog, Vol. 2","1985","0","w","","Cassette",  ""
"12095043","","Cabalist","","","Chromo of War","2020","0","w","","MP3",  ""
"6157","","Can","","","Soundtracks","1970","0","w","","LP",  ""
"130865","","Cancer","","","To the Gory End","1990","5","n","","",  ""
"202485","","Capitalist Casualties","","","Disassembly Line","1992","7","o","","MP3",  ""
"437629","","Carnage","","","The Day Man Lost","1989","0","w","","Cassette",  ""
"111557","Chris","Carter","","","The Space Between","1991","0","o","","MP3",  ""
"147873","Kim","Cascone","","","Anti-Correlation","2002","7","w","","CD",  ""
"104962","Kim","Cascone","","","cathodeFlower","1999","0","w","","MP3",  ""
"2139397","Kim","Cascone","","","InvalidObject Series (Delete)","2000","0","o","","MP3",  ""
"1815","","Catherine Wheel","","","Ferment","1992","0","w","","CD",  ""
"451831","","Cat Rapes Dog","","","Property Produces Bodily Injury","1988","0","w","","Cassette",  ""
"11147185","","CDR","","","Macintosh EP","2017","0","w","","MP3",  ""
"894256","","Celtic Frost","","","Morbid Tales","1985","7","o","","MP3",  ""
"23070","","Cemetary","","","An Evil Shade of Grey","1992","8","o","","MP3",  ""
"3024762","","Cerebral Bore","","","Maniacal Miscreation","2010","6","u","","MP3",  ""
"11112","A","Certain Ratio","","","Sextet","1982","0","o","","MP3",  ""
"110586","","Changes","","","Fire of Life","1996","0","w","","CD",  ""
"643651","","Charles de Goal","","","Radio On","1981","0","w","","LP",  ""
"218527","Richard","Chartier","","","Series","2000","0","w","","CD",  ""
"570377","","Cheapmachines","","","Flaunt","2005","0","w","","CD-R",  ""
"1041854","","Cheapmachines","","","Fugue Cycle","2007","0","w","","CD-R",  ""
"1041943","","Cheapmachines","","","Latitude","2006","0","w","","MP3",  ""
"2488605","","Cherokee","","","Wipis in Tipis","1982","0","w","","Cassette",  ""
"728148","Henning","Christiansen","","","Abschiedssymphonie","1988","0","w","","LP",  ""
"110619","","Chrome","","","Read Only Memory","1979","0","w","","LP",  ""
"3303798","","Clair Instant","","","Sensations","1986","0","w","","LP",  ""
"22072","","Clair Obscur","","","Dansez","1984","0","w","","LP",  ""
"363621","","Clair Obscur","","","La cassette noire","1982","6","o","","MP3",  ""
"397821","","Clair Obscur","","","Santa Maria / Toundra","1983","0","w","","LP",  ""
"17092","","Clinic","","","Clinic","1999","0","w","","CD",  ""
"12461060","","Clock DVA","","","The Sex Beyond Entanglement","1978","0","o","","MP3",  ""
"38229","","Cluster","","","Cluster","1971","0","w","","LP",  ""
"2420278","","Cocteau Twins","","","Cocteau Twins","1991","0","w","","CD",  ""
"7401917","","Codex Empire","","","Cutpurse","2016","7","o","","MP3",  ""
"767494","","Coil","","","ANS","2004","0","w","","CD",  ""
"4229","","Coil","","","Astral Disaster","2000","0","o","","MP3",  ""
"632332","","Coil","","","The Remote Viewer","2006","0","o","","MP3",  ""
"470669","","Coil","","","Пособие для начинающих: Глас Серебра","2001","9","o","","MP3",  ""
"164248","Nicolas","Collins","","","It Was a Dark and Stormy Night","1992","0","w","","CD",  ""
"527781","","Come","","","Rampton","1980","0","o","","MP3",  ""
"697484","Pascal","Comelade","","","Séquences païennes","1978","0","w","","LP",  ""
"1065730","Loren MazzaCane","Connors","","","As Roses Bow: Collected Airs 1992-2002","2007","0","w","","CD",  ""
"8187719","Tony","Conrad","","","Ten Years Alive on the Infinite Plain","2017","0","w","","LP",  ""
"2297510","","Consumer Electronics","","","Crowd Pleaser","2009","0","w","","LP",  ""
"7651737","","Controlled Bleeding","","","Distress Signals","1984","8","o","","MP3",  ""
"7652284","","Controlled Bleeding","","","Distress Signals II","2016","7","o","","MP3",  ""
"2673292","","Controlled Bleeding","","","Girrbering Canker-Opera Slaves (Studies in Meditation and Evisceration)","2009","0","w","","CD",  ""
"86292","","Controlled Bleeding","","","Headcrack","1986","0","w","","LP",  ""
"86302","","Controlled Bleeding","","","The Drowning","1993","0","w","","MP3",  ""
"851531","","Converter","","","Coma","1999","0","w","","LP",  ""
"1119266","","Converter","","","Shock Front","1999","0","w","","CD",  ""
"7868695","","Convulsing","","","Errata","2016","6","o","","MP3",  ""
"6366645","Yan","Cook","","","Gravity EP","2014","0","u","","MP3",  ""
"2523457","","Coprophilia","","","Demo '91","1991","8","o","","MP3",  ""
"14737129","","Coprophilia","","","The Demo Collection 1991-1992","2022","8","o","","MP3",  ""
"2598889","","Corpse Molestation","","","Holocaust Wolves of the Apocalypse","2009","0","w","","CD",  ""
"262026","","Cranioclast","","","Koitlaransk","1985","0","w","","LP",  ""
"820123","","Cranioclast","","","Kolik-San-Art","1986","0","o","","MP3",  ""
"1287372","","Crawl/Child","","","Principles of Exclusion","1994","0","w","","CD",  ""
"860405","","Crematory","","","The Exordium","1990","0","w","","Cassette",  ""
"860427","","Crematory","","","Wrath From the Unknown","1991","0","w","","Cassette",  ""
"2613108","","Croiners","","","Music to Listen to Other Tapes By","1987","0","w","","Cassette",  ""
"2576405","","Cro-Mags","","","The Age of Quarrel","1986","0","w","","CD",  ""
"3566737","Tara","Cross","","","1982 - 89","2011","8","o","","MP3",  ""
"2594700","Tara","Cross","","","Tara Cross","1986","0","w","","LP",  ""
"1109578","","Crow","","","血涙","2006","0","w","","LP",  ""
"2542426","Robin","Crutchfield","","","The Hidden Folk","2009","0","w","","CD",  ""
"5169","","Cryptopsy","","","None So Vile","1996","8","n","","",  ""
"4421185","","Cult of the Lizard God","","","Enchanted","1995","0","w","","Cassette",  ""
"897614","","Current 93","","","Dogs Blood Rising","1995","7","o","","MP3",  ""
"4078","","Current 93","","","I Have a Special Plan for This World","2000","7","u","","MP3",  ""
"4053","","Current 93","","","Nature Unveiled","1984","8","o","","MP3",  ""
"12734542","","Current 93","","","Sleep Has His House","2020","0","w","","CD",  ""
"217938","","Cylob","","","Industrial Folk Songs","1995","0","w","","LP",  ""
"4254632","","D'Kat","","","A Device Attached to the System is Not Functioning Properly","2003","0","w","","LP",  ""
"379631","","DACM","","","Showroom Dummies","2002","0","w","","CD",  ""
"74798","","Dadamah","","","This Is Not a Dream","1995","0","o","","MP3",  ""
"12622368","","Daliborovo granje","","","Hainin","2020","8","o","","MP3",  ""
"752448","","Danse Macabre","","","Danse Macabre","1983","0","w","","LP",  ""
"99575","","Dark Day","","","Window","1982","8","o","","MP3",  ""
"1063890","","Dark Like a Restaurant","","","Sight","1981","0","w","","LP",  ""
"4000","","Darkthrone","","","A Blaze in the Northern Sky","1992","8","n","","",  ""
"3386034","","Das","","","Muzak for the Common Beast","1986","0","w","","Cassette",  ""
"461382","","Datach'i","","","Shock Diamonds","2006","7","o","","MP3",  ""
"11438908","Sarah","Davachi","","","Five Cadences","2020","5","n","","",  ""
"10404","Miles","Davis","","","Miles Smiles","1967","0","w","","LP",  ""
"6647","Miles","Davis","","","Sketches of Spain","1960","0","w","","LP",  ""
"1012295","","Day After","","","Recourse","1983","0","w","","LP",  ""
"781732","","Days of Sorrow","","","Remembering the Days","1984","0","w","","LP",  ""
"1182","","Dead Can Dance","","","Dead Can Dance","1984","0","o","","MP3",  ""
"260240","","Dead Can Dance","","","Spleen and Ideal","1985","0","w","","LP",  ""
"3861227","The","Dead Goldfish Ensemble","","","Music for Bowls","1987","0","w","","Cassette",  ""
"4088","","Death in June","","","The Wörld Thät Sümmer","1986","0","w","","LP",  ""
"2004695","","Deathranch","","","A Prisoner","1989","0","w","","Cassette",  ""
"3980023","","Deathspell Omega","","","Drought","2012","8","o","","MP3",  ""
"896694","","Deathspell Omega","","","Fas – Ite, maledicti, in ignem aeternum","2007","9","o","","MP3",  ""
"3088389","","Deathspell Omega","","","Paracletus","2010","8","o","","MP3",  ""
"136539","","Deathspell Omega","","","Si monvmentvm reqvires, circvmspice","2004","8","o","","MP3",  ""
"7728860","","Deathspell Omega","","","The Synarchy of Molten Bones","2016","0","w","","CD",  ""
"8944259","Christoph","de Babalon","","","The Haunting Past of Christoph de Babalon, Vol. II","2017","0","w","","MP3",  ""
"9299623","Christoph","de Babalon","","","The Haunting Past of Christoph de Babalon, Vol. III","2017","8","o","","MP3",  ""
"63941","","De Brassers","","","De Brassers","1980","9","o","","MP3",  ""
"152279","","Décima Víctima","","","Décima Víctima","1982","0","w","","LP",  ""
"123829","Reinbert","de Leeuw","","","Gnossiennes; Gymnopédies; Ogives; Trois sarabandes; Petite ouverture à danser","1995","8","o","","MP3",  ""
"9855347","","Délirant","","","Délirant","2018","0","o","","MP3",  ""
"1188019","","Delta-Sleep-Inducing Peptide","","","Abduction of Mind","1990","7","o","","MP3",  ""
"4245207","","Delta-Sleep-Inducing Peptide","","","Cataplectic Episodes","1991","6","u","","Cassette",  ""
